,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
100,422,Asia,Low variant,Lebanon,1.4538,1.2945,1.1897,1.1877,1.1889,1.1948,1.2019,1.2097,1.2206,1.2283,1.2382,1.2472,1.257,1.2637,1.2706,1.2779,1.2845
101,426,Africa,Low variant,Lesotho,2.7634,2.4095,2.1436,2.0106,1.8955,1.7983,1.7098,1.6351,1.5704,1.5108,1.465,1.4267,1.3951,1.3725,1.3544,1.3421,1.3321
102,430,Africa,Low variant,Liberia,4.2306,3.7622,3.3762,3.1237,2.9048,2.7155,2.5513,2.4074,2.2774,2.1676,2.0644,1.9695,1.8827,1.8005,1.7264,1.6559,1.5956
103,434,Africa,Low variant,Libya,1.9579,1.6585,1.4448,1.3625,1.3078,1.2764,1.2597,1.2538,1.2532,1.258,1.2634,1.2693,1.2755,1.2821,1.2866,1.2928,1.2975
104,440,Europe,Low variant,Lithuania,1.4105,1.309,1.2458,1.273,1.2941,1.3114,1.3242,1.3343,1.3428,1.3487,1.3529,1.3572,1.3612,1.3643,1.3648,1.3667,1.3682
105,442,Europe,Low variant,Luxembourg,1.3443,1.2305,1.1594,1.1822,1.2013,1.2173,1.2301,1.2413,1.2487,1.257,1.2633,1.2679,1.2715,1.276,1.2788,1.2826,1.2844
106,446,Asia,Low variant,"China, Macao SAR",1.0975,1.0649,1.0535,1.121,1.1726,1.2116,1.2435,1.267,1.2859,1.3015,1.3121,1.3205,1.3285,1.3346,1.3379,1.3432,1.3468
107,450,Africa,Low variant,Madagascar,3.8585,3.4456,3.1135,2.9051,2.7258,2.5703,2.4316,2.3104,2.1994,2.1012,2.012,1.9243,1.8459,1.772,1.7031,1.6435,1.5842
108,454,Africa,Low variant,Malawi,4.2423,3.7497,3.3473,3.0869,2.8632,2.6691,2.4989,2.3517,2.2192,2.1027,1.9971,1.8989,1.8088,1.7264,1.6492,1.5857,1.5316
109,458,Asia,Low variant,Malaysia,1.7605,1.5286,1.3642,1.3142,1.2796,1.2561,1.2441,1.2384,1.2365,1.2387,1.243,1.2473,1.2535,1.261,1.2669,1.2716,1.2785
110,462,Asia,Low variant,Maldives,1.775,1.4724,1.2689,1.2096,1.1863,1.188,1.1982,1.2097,1.2229,1.2334,1.2445,1.2539,1.2643,1.273,1.2802,1.2867,1.2929
111,466,Africa,Low variant,Mali,5.6715,5.0639,4.5129,4.0777,3.6739,3.3072,2.9866,2.7182,2.4897,2.3059,2.1487,2.0122,1.898,1.794,1.7059,1.6321,1.5682
112,470,Europe,Low variant,Malta,1.2247,1.1239,1.0678,1.1056,1.1371,1.1639,1.1863,1.2063,1.2227,1.2379,1.2492,1.2593,1.2685,1.2763,1.282,1.2885,1.2944
113,474,Americas,Low variant,Martinique,1.6309,1.4388,1.3171,1.3041,1.2984,1.2933,1.2916,1.2953,1.2975,1.2999,1.3047,1.3084,1.3106,1.3132,1.3172,1.3195,1.3229
114,478,Africa,Low variant,Mauritania,4.326,3.8931,3.5308,3.2937,3.0843,2.8966,2.729,2.5817,2.4531,2.3378,2.2308,2.1323,2.0462,1.9683,1.8872,1.8169,1.7481
115,480,Africa,Low variant,Mauritius,1.1834,1.0296,0.9713,1.0128,1.0508,1.0876,1.1184,1.1466,1.1716,1.1919,1.2103,1.2258,1.2402,1.2529,1.2629,1.2701,1.2787
116,175,Africa,Low variant,Mayotte,3.4789,3.0238,2.6724,2.4613,2.2796,2.121,1.9775,1.8498,1.7358,1.6332,1.5494,1.4799,1.4254,1.3837,1.3522,1.3326,1.3195
117,484,Americas,Low variant,Mexico,1.8864,1.6037,1.3934,1.3147,1.2611,1.2311,1.2157,1.2142,1.2147,1.223,1.2303,1.2396,1.2494,1.2578,1.267,1.274,1.2799
118,583,Oceania,Low variant,Micronesia (Fed. States of),2.8263,2.468,2.1981,2.0536,1.9311,1.8245,1.7294,1.6459,1.5737,1.5116,1.4576,1.4134,1.38,1.3542,1.3348,1.3219,1.3112
119,498,Europe,Low variant,Republic of Moldova,0.9795,0.8424,0.8124,0.8764,0.935,0.9899,1.0379,1.0788,1.114,1.1434,1.1686,1.1903,1.2098,1.2248,1.2367,1.2478,1.2573
120,496,Asia,Low variant,Mongolia,2.4127,2.1217,1.9075,1.8114,1.733,1.6693,1.6178,1.5745,1.541,1.5125,1.4901,1.472,1.4572,1.4424,1.4323,1.4231,1.4165
121,499,Europe,Low variant,Montenegro,1.4065,1.2352,1.1375,1.1458,1.159,1.1721,1.1871,1.2015,1.214,1.2268,1.2386,1.2488,1.2583,1.2669,1.2746,1.2812,1.2872
122,504,Africa,Low variant,Morocco,2.1747,1.8832,1.6691,1.5761,1.5009,1.4413,1.3942,1.3608,1.3383,1.3221,1.3108,1.3045,1.3022,1.3004,1.3006,1.3015,1.3038
123,508,Africa,Low variant,Mozambique,4.8929,4.4306,4.0228,3.7248,3.4395,3.1772,2.9373,2.7244,2.5394,2.3761,2.2377,2.117,2.0134,1.9202,1.8361,1.765,1.6916
124,104,Asia,Low variant,Myanmar,1.9329,1.6787,1.4951,1.4235,1.3708,1.3299,1.302,1.2844,1.2734,1.2682,1.2665,1.2687,1.2716,1.2763,1.2804,1.2849,1.289
125,516,Africa,Low variant,Namibia,3.061,2.6758,2.3819,2.2174,2.0764,1.9553,1.8458,1.7478,1.6612,1.5856,1.521,1.4688,1.4293,1.3953,1.37,1.3524,1.3394
126,524,Asia,Low variant,Nepal,1.8325,1.5343,1.3339,1.2628,1.2162,1.192,1.1822,1.184,1.1908,1.2006,1.2122,1.2224,1.2338,1.2441,1.2538,1.2624,1.2696
127,528,Europe,Low variant,Netherlands,1.4999,1.3642,1.2769,1.2864,1.2953,1.3034,1.3077,1.3137,1.317,1.3213,1.324,1.3266,1.3292,1.3317,1.3323,1.3334,1.3348
128,540,Oceania,Low variant,New Caledonia,1.8918,1.6541,1.4873,1.4324,1.3902,1.3597,1.3387,1.324,1.3165,1.3108,1.3077,1.3073,1.3084,1.3098,1.31,1.3108,1.3131
129,554,Oceania,Low variant,New Zealand,1.7242,1.5253,1.3859,1.3544,1.3323,1.3155,1.3024,1.2967,1.2916,1.2899,1.2914,1.2937,1.2942,1.2962,1.2986,1.3021,1.3053
